url,status,category,is_generic_org_link,source_memorials
http://salfordonline.com/4389-salford-lancaster-bomber-crash-memorial-this-weekend-to-remember-nine-killed.html,403,FORBIDDEN,,salford-pb304:.external_narratives[4].original_url
http://www.griffon.clara.net/19/whitley_losses.htm,200,OK,,raf-kinloss-area-ni440:.sources[2].url
http://www.griffon.clara.net/19/19otu_roll_of_honour.htm,200,OK,,raf-kinloss-area-ni440:.sources[1].url
http://www.mainpointonline.co.uk/crashed-lancaster/,0,DEAD_CONNECTION,,bellingdon-pb475:.external_narratives[2].original_url
http://www.207squadron.rafinfo.org.uk/memorials_crew_brig.htm,200,OK,,brigstock-dv361:.external_narratives[0].original_url
http://www.aviationarchaeology.org.uk/marg/crashes1944.htm,200,OK,,blyth-green-1-he818:.external_narratives[2].original_url|blyth-green-2-na581:.external_narratives[1].original_url
http://www.207squadron.rafinfo.org.uk/Holmpton/,200,OK,,holmpton-avro-manchester-l-75:.external_narratives[0].original_url
http://www.578squadron.org.uk/memorials/balkholme.html,200,OK,,balkholme-1-lk834:.external_narratives[1].original_url|balkholme-2-mz696:.external_narratives[2].original_url
http://www.415sqn.com/east-moor-2017.html,200,OK,,east-moor-near-sutton-on-the-forest-general-memorial-to-:.external_narratives[1].original_url
http://www.578squadron.org.uk/memorials/farnsfield.html,200,OK,,farnsfield-halifax-mz519:.sources[1].url|farnsfield-halifax-mz519:.external_narratives[1].original_url
http://aircrewremembered.com/oliver-francis.html,200,OK,,scallows-hall-dv270:.external_narratives[0].original_url
http://aircrewremembered.com/sanderson-george.html,200,OK,,gonalston-lancaster-l7578:.sources[0].url
http://www.halam.org.uk/frame_ED823.htm,404,DEAD_404,,halam-lancaster-ed823:.sources[1].url|halam-lancaster-ed823:.external_narratives[2].original_url
http://www.roll-of-honour.com/Bedfordshire/TempsfordHailfaxBomberLL356NFU.html,200,OK,,kirkley-lowestoft-ll356:.sources[2].url|kirkley-lowestoft-ll356:.external_narratives[3].original_url
http://www.roll-of-honour.com/Norfolk/WeasenhamRAF.html,200,OK,,weasenham-st-peter-three-crashes-commemorated-fl206-boston-al285:.external_narratives[1].original_url
http://www.rafinfo.org.uk/BCWW2Losses/OTU.htm,200,OK,,chipping-warden-2-wellington-r-1037:.external_narratives[0].original_url
http://nottsvillages.blogspot.com/2015/07/screveton.html,200,OK,,screveton-1-wellington-w-4103:.external_narratives[3].original_url
http://www.ystradgynlais-history.co.uk/wellington-mf509.html,200,OK,,carreg-goch-wellington-mf509-mf509:.sources[1].url|carreg-goch-wellington-mf509-mf509:.external_narratives[1].original_url
http://www.ystradgynlais-history.co.uk/wellington-r1465.html,200,OK,,waun-rydd-wellington-details-v:.external_narratives[2].original_url
http://www.no-50-and-no-61-squadrons-association.co.uk/the-memorials/uk-european-memorials/ed393-vn-k-pocklington/,200,OK,,pocklington-ed393:.external_narratives[2].original_url
http://macr.moonfruit.com/wellington-w5795/4530120426,200,OK,,near-sheldon-village-w5795:.external_narratives[2].original_url
http://www.wtdwhd.co.uk/crash%20details/Cheviots/WestHillWelly.html,200,OK,,cheviot-hills-wellington-z1078-z1078:.external_narratives[1].original_url
http://www.leicestershirewarmemorials.co.uk/war/memorials/view/2276,404,DEAD_404,,plungar-ed549:.external_narratives[3].original_url
https://115squadron-raf.be/crews/Lancaster%20Mk%20II%20-%20LL667%20-%20KO-R.html,200,OK,,coveney-double-lancaster-crash-ll667-and-lancaster-ll867:.sources[1].url|coveney-double-lancaster-crash-ll667-and-lancaster-ll867:.external_narratives[3].original_url
https://102ceylonsquadronassociation.org/dy-g.html,200,OK,,ardleigh-dt800:.external_narratives[0].original_url
https://44sqn.com/newsletters/march-2022/hampden/index.html,200,OK,,southrepps-hampden-x-3023:.sources[1].url|southrepps-hampden-x-3023:.external_narratives[1].original_url
http://thurgartonhistory.co.uk/2011/08/lancaster-bomber-l7578/,200,OK,,gonalston-lancaster-l7578:.external_narratives[2].original_url
https://44sqn.com/newsletters/sept-2020-newsletter/memorial/,200,OK,,brocklesby-me442:.external_narratives[2].original_url
http://www.sirjournal.org/abroad-spotlight/2018/1/29/sacrifice-and-remembrance-in-slovenia,200,OK,,slovenia-bomber-crew-memorial:.external_narratives[1].original_url
https://304squadron.blogspot.com/2009,200,OK,,bleasby-6-wellington-r-1212:.external_narratives[0].original_url
http://hattonrotary.co.uk/avro-manchester-l7314/,200,OK,,wollaston-l7380:.external_narratives[4].original_url
http://tr4ce.co.uk/aircrash/?page_id=73,404,DEAD_404,,plungar-ed549:.external_narratives[4].original_url
https://93rd-bg-museum.org/data/m_galb24.htm,200,OK,,south-cove-b-24-liberator-42-51:.external_narratives[2].original_url
