memorial_id,squadron,motto_text,motto_language,source,evidence_url,verifier,date_verified,date_deployed,notes
bacton-hudson-v-9097,500 Squadron,Speed,english,data_entry,,holly,2026-04-06,2026-04-06,
balkholme-1-lk834,578 Squadron,Accuracy,english,data_entry,,holly,2026-04-06,2026-04-06,
balkholme-2-mz696,578 Squadron,Accuracy,english,data_entry,,holly,2026-04-06,2026-04-06,
bawdeswell-kb364,608 Squadron,Omnibus ungulis,english,data_entry,,holly,2026-04-06,2026-04-06,
bleasby-1-lancaster-r-5703,61 Squadron,Per purum tonantes,latin,data_entry,,holly,2026-04-06,2026-04-06,
bleasby-4-jb132,61 Squadron,Per purum tonantes,latin,data_entry,,holly,2026-04-06,2026-04-06,
blyth-green-1-he818,18 OTU,With courage and faith,english,data_entry,,holly,2026-04-06,2026-04-06,
bransby-at129,49 Sqdn.,Cave canem,english,data_entry,,holly,2026-04-06,2026-04-06,
bressingham-bk770,75 (NZ) Squadron,Ake ake kia kaha,english,data_entry,,holly,2026-04-06,2026-04-06,
brettenham-stirling-n-3756,15 Squadron,Aim sure,english,data_entry,,holly,2026-04-06,2026-04-06,
brigstock-dv361,207 Squadron,Semper paratus,latin,data_entry,,holly,2026-04-06,2026-04-06,
briston-wellington-w-5444,12 Squadron,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
brocklesby-me442,44 Sqdn.,Fulmina regis iusta,english,data_entry,,holly,2026-04-06,2026-04-06,
buckden-pike-wellington-n-2848,18 OTU (Polish),With courage and faith,english,data_entry,,holly,2026-04-06,2026-04-06,
bwlchgwyn-near-wrexham-raf-bomber-type-vari,81 OTU,Peace Through Strength,english,data_entry,,holly,2026-04-06,2026-04-06,
california-gap-wellington-z-8397,12 Squadron,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
cawston-1-hampden-p-4405,61 Squadron,Per purum tonantes,latin,data_entry,,holly,2026-04-06,2026-04-06,
caythorpe-station-pb812,460 (RAAF) Sqdn.,Strike and return,english,data_entry,,holly,2026-04-06,2026-04-06,
cheviot-hills-wellington-z1078-z1078,150 Squadron,Αιει Φθανομεν (Aiei Phthanomen),english,data_entry,,holly,2026-04-06,2026-04-06,
chippenham-bk784,90 Squadron,Celer,latin,data_entry,,holly,2026-04-06,2026-04-06,
chipping-warden-1-lp286,12 OTU,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
chipping-warden-2-wellington-r-1037,12 OTU,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
clenchwarton-multi-crash-memorial-hr832-mosquito-dd717-blenheim-z-7278,218 Sqdn Marham,In time,english,data_entry,,holly,2026-04-06,2026-04-06,
cloot-drove-nd981-and-lancaster-me625-mid-air-collision-,97 Squadron,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
cotgrave-place-wellington-w-5365,12 Squadron,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
coveney-double-lancaster-crash-ll667-and-lancaster-ll867,115 Squadron,Despite the elements,english,data_entry,,holly,2026-04-06,2026-04-06,
crowland-mid-air-collision-me265-lancaster-nd981,97 Sqdn.,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
desborough-an534,90 Squadron,Celer,latin,data_entry,,holly,2026-04-06,2026-04-06,
dry-doddington-pb432,49 Sqdn.,Cave canem,english,data_entry,,holly,2026-04-06,2026-04-06,
dunbeath-short-sunderland-mk-,"228 Squadron, Coastal Command",We seek far,english,data_entry,,holly,2026-04-06,2026-04-06,
earith-mid-air-collision-w7467-and-hurricane-v6865,7 Squadron,Per diem per noctem,latin,data_entry,,holly,2026-04-06,2026-04-06,
east-stockwith-me323,12 Sqdn.,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
farnsfield-halifax-mz519,578 Squadron,Accuracy,english,data_entry,,holly,2026-04-06,2026-04-06,
felixstowe-docks-hampden-p-1340,44 (Rhodesia) Squadron,Fulmina regis iusta,english,data_entry,,holly,2026-04-06,2026-04-06,
felixstowe-lm258,218 (Gold Coast) Squadron,In time,english,data_entry,,holly,2026-04-06,2026-04-06,
godmanchester-n3703,XV (15) Squadron,Aim sure,english,data_entry,,holly,2026-04-06,2026-04-06,
great-gransden-hayley-wood-jb219,97 Squadron,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
greensted-juxta-ongar-pb512,582 PFF,Praecedimus,english,data_entry,,holly,2026-04-06,2026-04-06,
grimston-hill-wellington-ms471,82 Operational Training Unit,Peace Through Strength,english,data_entry,,holly,2026-04-06,2026-04-06,
hameldown-x3054,49 Squadron,Cave canem,english,data_entry,,holly,2026-04-06,2026-04-06,
hatcliffe-top-jb596,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
holmpton-avro-manchester-l-75,207 Squadron,Semper paratus,latin,data_entry,,holly,2026-04-06,2026-04-06,
houghton-st-martin-pb351,460 (RAAF) Squadron,Strike and return,english,data_entry,,holly,2026-04-06,2026-04-06,
hull-bridge-1-jb874,78 Squadron,Nobody unprepared,english,data_entry,,holly,2026-04-06,2026-04-06,
hull-bridge-2-bb373,78 Squadron,Nobody unprepared,english,data_entry,,holly,2026-04-06,2026-04-06,
