memorial_id,filename,caption,credit,source,rights_status,permission_obtained,date_taken,date_verified,notes
bassingham-fen-eh977,bassingham-fen-eh977/5d2196eed32ca_LI_Bassingham_Fen_1_547x410.JPG,5d2196eed32ca LI Bassingham Fen 1 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bassingham-fen-eh977,bassingham-fen-eh977/5d2196f04685f_LI_Bassingham_Fen_3_547x410.JPG,5d2196f04685f LI Bassingham Fen 3 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bassingham-fen-eh977,bassingham-fen-eh977/5d2196f1e21b6_LI_Bassingham_Fen_4_547x410.JPG,5d2196f1e21b6 LI Bassingham Fen 4 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bicker-nd820,bicker-nd820/5d22645618588_LI_Bicker_3_547x410.JPG,5d22645618588 LI Bicker 3 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bicker-nd820,bicker-nd820/5d226456e0ac6_LI_Bicker_4_547x410.JPG,5d226456e0ac6 LI Bicker 4 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bicker-nd820,bicker-nd820/5d226457b3ef4_LI_Bicker_5_547x410.JPG,5d226457b3ef4 LI Bicker 5 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bicker-nd820,bicker-nd820/5d2264584f053_LI_Bicker_6_547x410.JPG,5d2264584f053 LI Bicker 6 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bicker-nd820,bicker-nd820/5c012853903a0_Bicker_Lancaster_547x410.jpg,5c012853903a0 Bicker Lancaster 547x410,Tony Hibberd / War Memorials Online,,unknown,,,,
bleasby-1-lancaster-r-5703,bleasby-1-lancaster-r-5703/61sqn-bellchambers-gallaway-combined-w800.png,61sqn bellchambers gallaway combined,Aircrew Remembered,,unknown,,,,
bleasby-1-lancaster-r-5703,bleasby-1-lancaster-r-5703/the-bleasby-aircrews-memorial-4-w800-w800.jpg,the bleasby aircrews memorial 4,Aircrew Remembered,,unknown,,,,
bleasby-1-lancaster-r-5703,bleasby-1-lancaster-r-5703/bleasby-aircrews-memorial-lancaster-r5703-1-w800-1-w800.jpg,bleasby aircrews memorial lancaster r5703 1 w800 1,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/the-bleasby-aircrews-memorial-5-w800-w800.jpg,the bleasby aircrews memorial 5,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/no-5-lancaster-finishing-school-lancaster-i-w4232-rc-y-w800-w800.jpg,no 5 lancaster finishing school lancaster i w4232 rc y,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/lancaster-w4232-w800-w800.jpg,lancaster w4232,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/hazelford-weir-house-and-likely-aircraft-crash-site-w800-w800.jpg,hazelford weir house and likely aircraft crash site,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/google-maps-syerston-bleasby-morton-1-w800-w800.jpg,google maps syerston bleasby morton 1,Aircrew Remembered,,unknown,,,,
bleasby-2-lancaster-w-4232,bleasby-2-lancaster-w-4232/bleasby-os-map-1905-1-w800-w800.jpg,bleasby os map 1905 1,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/654-heavy-conversion-unit-lancaster-i-r5698-ug-p-crew-w800.jpg,654 heavy conversion unit lancaster i r5698 ug p crew,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/wig1-copy-w800-w800.jpg,wig1 copy,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/1654-hcu-raf-wigsley-in-mid-1943-w800-w800.jpg,1654 hcu raf wigsley in mid 1943,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/the-bleasby-aircrews-memorial-1-w800-w800.jpg,the bleasby aircrews memorial 1,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/macdonald-2-copy-w800.jpg,macdonald 2 copy,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/thorneysthelenjoblingmar-2016ed-copy1-1-w800.jpg,thorneysthelenjoblingmar 2016ed copy1 1,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/e-n-jones-courtesy-mike-mcquaid-copy-w800.jpg,e n jones courtesy mike mcquaid copy,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/g-h-tough-copy-w800.jpg,g h tough copy,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/thorneysthelenrashbrookmar-2016ed-copy-w800.jpg,thorneysthelenrashbrookmar 2016ed copy,Aircrew Remembered,,unknown,,,,
bleasby-3-lancaster-r-5698,bleasby-3-lancaster-r-5698/liverpool-anfiels-cem-from-cwgc-copy-w800.jpg,liverpool anfiels cem from cwgc copy,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/the-bleasby-aircrews-memorial-w800-w800.jpg,the bleasby aircrews memorial,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/crew-of-lancaster-jb-132-late-august-1943-1-w800-w800.jpg,crew of lancaster jb 132 late august 1943 1,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/61-squadron-lancaster-iii-jb132-w800-w800.jpg,61 squadron lancaster iii jb132,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/61-squadron-lancaster-iii-jb132-1-w800-w800.jpg,61 squadron lancaster iii jb132 1,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/no.-25-bombing-leader-course-1941aircrew-remembered-1-w760h570.jpg,no. 25 bombing leader course 1941aircrew remembered 1,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/wellburn-dennis-crosby-grave-w800.jpg,wellburn dennis crosby grave,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/sgt-jack-blackett-1092940-rafvr-age-20-1-w800-w800.jpg,sgt jack blackett 1092940 rafvr age 20 1,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/sgt-alan-paterson-639330-raf-age-25-w800-w800.jpg,sgt alan paterson 639330 raf age 25,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/google-maps-syerston-bleasby-morton-w800-w800.jpg,google maps syerston bleasby morton,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/bleasby-os-map-1905-w800-w800.jpg,bleasby os map 1905,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/alan-paterson-colleagues-training-copy-w800-w800-1-w800.jpg,alan paterson colleagues training copy w800 w800 1,Aircrew Remembered,,unknown,,,,
bleasby-4-jb132,bleasby-4-jb132/alan-paterson-training-colleagues-signatures-w800-w800-1-w800.jpg,alan paterson training colleagues signatures w800 w800 1,Aircrew Remembered,,unknown,,,,
bleasby-5-wellington-r-1014,bleasby-5-wellington-r-1014/the-bleasby-aircrews-memorial-2-w800-w800.jpg,the bleasby aircrews memorial 2,Aircrew Remembered,,unknown,,,,
bleasby-5-wellington-r-1014,bleasby-5-wellington-r-1014/304-squadron-wellington-ic-r1014-crew-1-w800-w800.jpg,304 squadron wellington ic r1014 crew 1,Aircrew Remembered,,unknown,,,,
bleasby-5-wellington-r-1014,bleasby-5-wellington-r-1014/sgt-stanisaw-tofin-782062-w800-w800.jpg,sgt stanisaw tofin 782062,Aircrew Remembered,,unknown,,,,
bleasby-5-wellington-r-1014,bleasby-5-wellington-r-1014/304-squadron-wellington-ic-r1014-crew-graves-w800-w800.jpg,304 squadron wellington ic r1014 crew graves,Aircrew Remembered,,unknown,,,,
bleasby-5-wellington-r-1014,bleasby-5-wellington-r-1014/bleasby-aircrews-memorial-wellingtons-r1014-and-r1212-1-w800-w800.jpg,bleasby aircrews memorial wellingtons r1014 and r1212 1,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/bleasby-aircrews-memorial-june-2018-w800-w800.jpg,bleasby aircrews memorial june 2018,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/004-bleasby-aircrews-memorial-1-5-2018-w800-1-w800.jpg,004 bleasby aircrews memorial 1 5 2018 w800 1,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/bleasby-aircrews-memorial-wellingtons-r1014-and-r1212-w800-w800.jpg,bleasby aircrews memorial wellingtons r1014 and r1212,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/017bleasby-aircrews-memorial-tailfin-inscription-w800-w800.jpg,017bleasby aircrews memorial tailfin inscription,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/17-tailfin-section-with-two-plaques-viewed-from-rhs-3-w800-1-w800.jpg,17 tailfin section with two plaques viewed from rhs 3 w800 1,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/bleasby-aircrews-memorial-lancaster-r5703-w800-w800.jpg,bleasby aircrews memorial lancaster r5703,Aircrew Remembered,,unknown,,,,
bleasby-6-wellington-r-1212,bleasby-6-wellington-r-1212/bleasby-aircrews-memorial-syerston-w4258-plaque-w800-w800.jpg,bleasby aircrews memorial syerston w4258 plaque,Aircrew Remembered,,unknown,,,,
bodicote-bk517,bodicote-bk517/23-operational-training-unit-wellington-iii-bk517-w800-w800.jpg,23 operational training unit wellington iii bk517,Aircrew Remembered,,unknown,,,,
bodicote-bk517,bodicote-bk517/wellingtonbomber-w800-w800.jpg,wellingtonbomber,Aircrew Remembered,,unknown,,,,
bodicote-bk517,bodicote-bk517/23-operational-training-unit-wellington-iii-bk517-memorial-w800-w800.jpg,23 operational training unit wellington iii bk517 memorial,Aircrew Remembered,,unknown,,,,
bodicote-bk517,bodicote-bk517/robert-jenkins-and-co-ltd-w800-w800.jpg,robert jenkins and co ltd,Aircrew Remembered,,unknown,,,,
bodicote-bk517,bodicote-bk517/006_17_547x410.JPG,006 17 547x410,P.Steele / War Memorials Online,,unknown,,,,
bodicote-bk517,bodicote-bk517/007__640x427__547x410.jpg,007  640x427  547x410,P.Steele / War Memorials Online,,unknown,,,,
bodicote-bk517,bodicote-bk517/009_12_547x410.JPG,009 12 547x410,P.Steele / War Memorials Online,,unknown,,,,
briston-wellington-w-5444,briston-wellington-w-5444/12-squadron-wellington-ii-w5444-ph-t-crew-w760.jpg,12 squadron wellington ii w5444 ph t crew,Aircrew Remembered,,unknown,,,,
briston-wellington-w-5444,briston-wellington-w-5444/12-squadron-wellington-ii-w5444-ph-t-crew-graves-w760.jpg,12 squadron wellington ii w5444 ph t crew graves,Aircrew Remembered,,unknown,,,,
brocklesby-me442,brocklesby-me442/44-squadron-lancasters-1-w640h480.jpg,44 squadron lancasters 1,Aircrew Remembered,,unknown,,,,
brocklesby-me442,brocklesby-me442/44-squadron-lancaster-iii-me442-km-v-tree-w800-w800.jpg,44 squadron lancaster iii me442 km v tree,Aircrew Remembered,,unknown,,,,
brocklesby-me442,brocklesby-me442/44-squadron-lancaster-iii-me442-km-v-memorial-plaque-w640h480.jpg,44 squadron lancaster iii me442 km v memorial plaque,Aircrew Remembered,,unknown,,,,
brocklesby-me442,brocklesby-me442/moseley-grammar-school-ww2-memorial-copy-w640h480-5-w640h480.jpg,moseley grammar school ww2 memorial copy w640h480 5,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/12-squadron-wellington-ii-z8397-crew-w800-w800.jpg,12 squadron wellington ii z8397 crew,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/12-squadron-wellington-ii-z839-california-sands-w800-w800.jpg,12 squadron wellington ii z839 california sands,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/12-squadron-wellington-ii-z8397-memorial-plaque-w800-w800.jpg,12 squadron wellington ii z8397 memorial plaque,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/californian-tavern-w800-w800.jpg,californian tavern,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/flsgt-aldwyn-anthony-nordon-653750-raf-grave-w800-w800.jpg,flsgt aldwyn anthony nordon 653750 raf grave,Aircrew Remembered,,unknown,,,,
california-gap-wellington-z-8397,california-gap-wellington-z-8397/alfred-e-cosgrove-w800-1-w800.jpg,alfred e cosgrove w800 1,Aircrew Remembered,,unknown,,,,
carn-a-choire-mhoir-n1498,carn-a-choire-mhoir-n1498/5cd854ee0438b_IMG_6121_547x410.jpg,5cd854ee0438b IMG 6121 547x410,Alistair Macdonald / War Memorials Online,,unknown,,,,
caythorpe-heath-lj450,caythorpe-heath-lj450/Old_Machine_Pics_4979_547x410.jpg,Old Machine Pics 4979 547x410,MGF / War Memorials Online,,unknown,,,,
