memorial_id,url,url_type,field_path,link_purpose,specificity,domain,date_added,added_by,last_verified_date,last_http_status,last_result,action_needed,date_fixed,notes
beetley-bj764,https://backtonormandy.org/the-history/air-force-operations/airplanes-allies-and-axis-lost/wellington/19147-BJ7641942-11-10.html,source_reference,.sources[1].url,,specific,backtonormandy.org,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
beinn-edra-b-17g-flying-fortres,https://www.legionscotland.org.uk/branches-and-clubs,local_contact,.local_contacts[0].website,,generic,legionscotland.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
bellingdon-pb475,https://asn.flightsafety.org/wikibase/159300,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
blankney-mid-air-collision-lm130,https://asn.flightsafety.org/wikibase/164036,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
blankney-mid-air-collision-lm130,https://asn.flightsafety.org/wikibase/476703,external_narrative,.external_narratives[0].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
bleasby-4-jb132,https://asn.flightsafety.org/wikibase/210390,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
bwlchgwyn-near-wrexham-raf-bomber-type-vari,https://asn.flightsafety.org/wikibase/139938,source_reference,.sources[1].url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
bwlchgwyn-near-wrexham-raf-bomber-type-vari,https://www.britishlegion.org.uk/get-involved/things-to-do/membership/find-a-branch,local_contact,.local_contacts[0].website,,generic,britishlegion.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
bwlchgwyn-near-wrexham-raf-bomber-type-vari,https://www.wrexham-history.com/war-memorials/bwlchgwyn-war-memorial/,source_reference,.sources[2].url,,specific,wrexham-history.com,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
carn-bica-mountain-ev881,https://asn.flightsafety.org/wikibase/175619,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
carreg-goch-wellington-r1465-r1465,https://asn.flightsafety.org/wikibase/170291,source_reference,.sources[1].url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
cheviot-hills-memorial-multiple-aircraft-co,https://counties.britishlegion.org.uk/counties/northumberland/,local_contact,.local_contacts[0].website,,county_level,counties.britishlegion.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
coveney-double-lancaster-crash-ll667-and-lancaster-ll867,https://asn.flightsafety.org/wikibase/234601,external_narrative,.external_narratives[2].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
halam-lancaster-ed823,http://www.halam.org.uk/frame_ED823.htm,source_reference,.sources[1].url,,specific,halam.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
halifax-area-dk192,https://counties.britishlegion.org.uk/counties/west-yorkshire/,local_contact,.local_contacts[0].website,,county_level,counties.britishlegion.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
honeybourne-area-z2639,https://counties.britishlegion.org.uk/counties/warwickshire/,local_contact,.local_contacts[0].website,,county_level,counties.britishlegion.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
houghton-st-martin-pb351,https://asn.flightsafety.org/wikibase/159217,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
kinder-scout-2-aircraft-polish-crew,https://asn.flightsafety.org/wikibase/wiki.php?id=144774,source_reference,.sources[2].url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
pidley-dk300,https://raf-pathfinders.com/pff-training-units/,external_narrative,.external_narratives[1].original_url,,specific,raf-pathfinders.com,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
plungar-ed549,http://tr4ce.co.uk/aircrash/?page_id=73,external_narrative,.external_narratives[4].original_url,,specific,tr4ce.co.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
plungar-ed549,http://www.leicestershirewarmemorials.co.uk/war/memorials/view/2276,external_narrative,.external_narratives[3].original_url,,specific,leicestershirewarmemorials.co.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
sheffield-b-17-flying-fortress,https://counties.britishlegion.org.uk/counties/south-yorkshire/,local_contact,.local_contacts[0].website,,county_level,counties.britishlegion.org.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
sibsey-lancaster-details-on,https://www.horncastlenews.co.uk/news/lasting-tribute-for-brave-bomber-crew-1-853230,external_narrative,.external_narratives[3].original_url,,specific,horncastlenews.co.uk,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
stoke-holy-cross-blenheim-z-7304,https://asn.flightsafety.org/wikibase/206141,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
tattershall-1-w4175,https://asn.flightsafety.org/wikibase/318434,source_reference,.sources[2].url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
tigers-marsh-b-17-flying-fortress,https://asn.flightsafety.org/wikibase/97818,external_narrative,.external_narratives[1].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
walton-on-the-naze-rg475,https://www.rcafassociation.ca/heritage/history/rcaf-and-the-crucible-of-war/432-squadron/,external_narrative,.external_narratives[2].original_url,,specific,rcafassociation.ca,,holly,2026-04-06,404,HTTP_ERROR,remove_or_replace,,
wellington-he324-crash-site-he324,https://asn.flightsafety.org/wikibase/160696,external_narrative,.external_narratives[2].original_url,,specific,asn.flightsafety.org,,holly,2026-04-06,0,URL_ERROR,remove_or_replace,,
